Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
J1959+5625  ;19 59 19.4;+56 25 21;DN;Nr;19.7; 0.183000;       ;       ;    ;      ;
MQ Dra      ;15 53 31.1;+55 16 15;NL;AM;17.3; 0.182970;M5/5   ;       ;    ;      ;
J1810-3052  ;18 10 46.6;-30 52 32;DN;  ;19.2; 0.182941;       ;       ;    ;      ;
SS Aur      ;06 13 22.4;+47 44 26;DN;UG;15.0; 0.182800;M3-5/5 ;       ;38.0; 1.080; 0.390
TW Vir      ;11 45 21.1;-04 26 06;DN;UG;16.3; 0.182670;M5-6/5 ;       ;43.0; 0.910; 0.400
V418 Gem    ;07 04 08.7;+26 25 11;NL;IP;16.7; 0.182100;       ;       ;    ;      ;
V2306 Cyg   ;19 58 14.5;+32 32 42;NL;IP;15.7; 0.181545;       ;       ;    ;      ;
V542 Cyg    ;19 49 10.5;+58 31 59;DN;UG;18.3; 0.181500;       ;       ;    ;      ;
V795 Cyg    ;19 34 34.1;+31 32 12;DN;UG;18.4; 0.181300;M2-5/5 ;       ;    ;      ;
GI Mon      ;07 26 47.1;-06 40 30;Na;IP;16.1; 0.180200;       ;       ;    ;      ;
BD Pav      ;18 43 11.9;-57 30 44;DN;UG;15.4; 0.179301;M5-8/5:;       ;71.0; 1.150; 0.730
V513 Peg    ;22 16 31.2;+29 00 21;DN;UG;15.5; 0.179200;M2-4   ;       ;    ;      ;
V400 Per    ;03 07 38.3;+47 07 40;Na;  ;19.0; 0.179000;       ;       ;    ;      ;
J1806-2907  ;18 06 24.4;-29 07 45;NL;UX;17.4; 0.178432;       ;       ;    ;      ;
J1037-6249  ;10 37 28.4;-62 49 29;DN;UG;20.2; 0.177939;       ;       ;    ;      ;
V405 Peg    ;23 09 49.2;+21 35 18;DN;  ;17.9; 0.177647;M3-5/5 ;       ;    ;      ;
U Gem       ;07 55 05.3;+22 00 06;DN;UG;13.9; 0.176906;M6/5   ;       ;69.7; 1.200; 0.420
ES Dra      ;15 25 31.8;+62 01 00;DN;ZC;16.2; 0.176600;M1-3/5 ;       ;    ;      ;
CW Mon      ;06 36 54.5;+00 02 16;DN;UG;16.8; 0.176600;M3/5   ;       ;    ;      ;
NGC 104-W15 ;00 24 08.3;-72 05 00;CV;  ;22.5; 0.176400;       ;       ;    ;      ;
J1754-3157  ;17 54 32.5;-31 57 52;NL;UX;18.2; 0.176348;       ;       ;    ;      ;
UZ Ser      ;18 11 24.9;-14 55 34;DN;ZC;16.2; 0.175890;       ;       ;    ;      ;
WW Cet      ;00 11 24.8;-11 28 43;DN;ZC;13.9; 0.175800;M2.5/5 ;       ;54.0; 0.830; 0.410
V504 Cen    ;14 12 49.1;-40 21 37;NL;VY;12.0; 0.175567;M2-4/5 ;       ;    ;      ;
GY Cnc      ;09 09 50.6;+18 49 47;DN;UG;15.5; 0.175442;M3/5   ;       ;77.3; 0.990; 0.380
V436 Car    ;07 44 57.9;-52 57 13;NL;  ;14.4; 0.175300;       ;       ;    ;      ;
J2048+0050  ;20 48 27.9;+00 50 09;NL;AM;19.4; 0.175000;M3/5   ;       ;    ;      ;
LS Peg      ;21 51 57.9;+14 06 54;NL;IP;11.6; 0.174774;       ;       ;30.0;      ;
V1043 Cen   ;13 13 17.1;-32 59 12;NL;AM;14.6; 0.174592;M2-3/5 ;       ;40.0; 0.400; 0.450
V729 Sgr    ;19 16 49.2;-26 14 33;DN;  ;14.4; 0.173406;       ;       ;    ;      ;
V849 Oph    ;18 14 07.3;+11 36 43;Nb;  ;17.9; 0.172757;       ;       ;    ;      ;
V405 Aur    ;05 57 59.3;+53 53 45;NL;IP;13.9; 0.172620;       ;       ; 5.0;      ;
J0035+4623  ;00 35 35.7;+46 23 53;DN;  ;16.0; 0.172275;       ;       ;    ;      ;
0035-7230   ;00 37 19.8;-72 14 14;SS;EG;20.2; 0.172000;       ;       ;35.0;      ;
FO Per      ;04 08 35.0;+51 14 48;DN;UG;17.3; 0.171900;       ;       ;    ;      ;
J2216+4646  ;22 16 50.3;+46 46 41;NL;IP;14.0; 0.171802;       ;       ;71.8; 0.540; 0.450
V516 Cyg    ;20 47 09.8;+41 55 27;DN;UG;17.7; 0.171200;       ;       ;    ;      ;
LT Eri      ;04 07 14.8;-06 44 25;DN;NS;17.1; 0.170170;       ;       ;    ;      ;
NGC 6752-CX1;19 10 51.1;-59 59 12;DN;  ;19.5; 0.170000;       ;       ;    ;      ;
J0927-3910  ;09 27 51.9;-39 10 52;  ;  ;16.4; 0.170000;       ;       ;    ;      ;
LZ Mus      ;11 56 09.0;-65 34 21;N ;  ;18.0; 0.169300;       ;       ;    ;      ;
0139+0559   ;01 41 40.0;+06 14 37;NL;UX;15.3; 0.169200;       ;       ;    ;      ;
VW Vul      ;20 57 45.1;+25 30 26;DN;ZC;16.3; 0.168700;       ;       ;    ;      ;
J1758-3119  ;17 58 54.1;-31 19 01;DN;  ;17.0; 0.168325;       ;       ;    ;      ;
0922+1333   ;09 24 56.0;+13 20 53;NL;AM;17.0; 0.168312;M3.5/5 ;       ;    ;      ;
V1033 Cas   ;00 22 57.6;+61 41 08;NL;IP;16.6; 0.168000;       ;       ;    ;      ;
DO Aql      ;19 31 25.9;-06 25 38;Nc;  ;17.8; 0.167762;       ;       ;    ;      ;
J1923+6124  ;19 23 28.3;+61 24 13;  ;  ;17.5; 0.167700;       ;       ;    ;      ;
J1753-2134  ;17 53 26.4;-21 34 05;NL;UX;18.9; 0.167116;       ;       ;    ;      ;
J1831+6511  ;18 31 44.5;+65 11 32;DN;  ;15.9; 0.167000;       ;       ;    ;      ;
J1719-4100  ;17 19 35.9;-41 00 54;NL;IP;15.3; 0.166900;       ;       ;    ;      ;
J1856+4537  ;18 56 08.1;+45 37 40;DN;  ;15.2; 0.165940;M/5    ;DA     ;    ;      ;
DO Dra      ;11 43 38.3;+71 41 20;DN;IP;14.0; 0.165374;M3-5/5 ;       ;45.0; 0.830; 0.380
J1927+4447  ;19 27 48.5;+44 47 25;DN;  ;18.8; 0.165308;       ;       ;84.6; 0.690; 0.390
AM Cas      ;02 26 23.4;+71 18 32;DN;UG;15.2; 0.165200;       ;       ;    ;      ;
V1193 Ori   ;05 16 26.7;-00 12 14;NL;UX;13.7; 0.165001;       ;       ;    ;      ;
J2200+0334  ;22 00 31.2;+03 34 30;DN;ZC;19.3; 0.165000;       ;       ;    ;      ;
V1776 Cyg   ;20 23 30.5;+46 31 30;NL;UX;16.2; 0.164739;       ;       ;75.0; 0.600; 0.370
X Leo       ;09 51 01.5;+11 52 31;DN;UG;15.8; 0.164400;M2-3/5 ;       ;    ;      ;
J0153+7446  ;01 53 20.9;+74 46 22;NL;IP;16.4; 0.164150;       ;       ;    ;      ;
Lanning 386 ;21 08 34.0;+39 05 35;DN;SW;17.4; 0.164052;M2-4/5 ;       ;    ;      ;
V842 Cen    ;14 35 52.6;-57 37 35;Na;NL;16.3; 0.164000;       ;       ;    ;      ;
UU Aqr      ;22 09 05.7;-03 46 18;NL;UX;13.3; 0.163805;K7-M0/5;       ;78.0; 0.670; 0.200
J1305-5755  ;13 05 59.5;-57 55 00;  ;  ;17.2; 0.163700;       ;       ;    ;      ;
UU Aql      ;19 57 18.7;-09 19 21;DN;UG;16.0; 0.163532;M4/5   ;       ;    ;      ;
J0940+2749  ;09 40 02.6;+27 49 42;DN;UG;17.5; 0.163520;       ;       ;    ;      ;
J2152+19    ;21 52 00.0;+19 00 00;NL;IP;16.0; 0.163201;       ;       ;    ;      ;
CN Ori      ;05 52 07.8;-05 25 01;DN;UG;16.5; 0.163199;M4/5   ;       ;67.0; 0.740; 0.490
AR And      ;01 45 03.3;+37 56 33;DN;UG;16.9; 0.163000;       ;       ;    ;      ;
KR Aur      ;06 15 43.9;+28 35 09;NL;VY;12.7; 0.162800;       ;       ;38.0; 0.590; 0.350
KT Per      ;01 37 08.7;+50 57 20;DN;UG;15.6; 0.162658;M3/5   ;       ;    ;      ;
CM Del      ;20 24 56.9;+17 17 54;NL;UX;13.4; 0.162000;       ;       ;73.0; 0.480; 0.360
V367 Peg    ;22 45 00.7;+16 55 14;DN;  ;18.2; 0.161900;       ;       ;    ;      ;
0229+8016   ;02 35 58.3;+80 29 44;NL;UX;14.0; 0.161490;       ;       ;    ;      ;
J1820-2414  ;18 20 38.4;-24 14 31;NL;UX;18.1; 0.161329;       ;       ;    ;      ;
J1804-2659  ;18 04 16.6;-26 59 10;NL;UX;18.8; 0.161177;       ;       ;    ;      ;
VZ Aqr      ;21 30 24.6;-02 59 18;DN;UG;18.0; 0.160600;M1-4/5 ;       ;    ;      ;
J2337+4308  ;23 37 59.2;+43 08 52;NL;VY;16.4; 0.160500;       ;       ;    ;      ;
J1930+5157  ;19 30 59.2;+51 57 36;DN;UG;20.2; 0.160100;       ;       ;    ;      ;
J0812+1911  ;08 12 56.8;+19 11 58;NL;NS;15.8; 0.160053;       ;       ;    ;      ;
V4077 Sgr   ;18 34 39.4;-26 26 03;Nb;  ;21.0; 0.160000;       ;       ;    ;      ;
J1446+0253  ;14 47 00.0;+02 53 30;NL;IP;17.9; 0.160000;       ;       ;    ;      ;
V2467 Cyg   ;20 28 12.5;+41 48 36;Na;NL;20.0; 0.159600;       ;       ;    ;      ;
CY Lyr      ;18 52 41.4;+26 45 30;DN;UG;17.0; 0.159100;M3.5/5 ;       ;    ;      ;
J1751-3516  ;17 51 42.8;-35 16 35;NL;UX;17.8; 0.158999;       ;       ;    ;      ;
VY For      ;03 32 04.6;-25 56 56;NL;AM;17.5; 0.158600;M4.5/5 ;       ;    ;      ;
LX Ser      ;15 38 00.1;+18 52 03;NL;VY;14.1; 0.158432;M2/5   ;       ;90.0; 0.410; 0.360
IP Peg      ;23 23 08.6;+18 24 59;DN;UG;14.0; 0.158206;M3-4/5 ;       ;83.8; 1.160; 0.550
V382 Vel    ;10 44 48.4;-52 25 31;Na;  ;16.6; 0.158100;       ;       ;    ;      ;
V523 Lyr    ;19 21 07.5;+37 47 57;NL;VY;17.7; 0.158000;       ;       ;    ;      ;
J0227+1306  ;02 27 32.9;+13 06 17;NL;AM;17.0; 0.157799;       ;       ;77.0; 0.670;
J1040-4701  ;10 40 00.0;-47 01 26;NL;  ;16.0; 0.157700;       ;       ;    ;      ;
J1740-2418  ;17 40 48.9;-24 18 34;NL;AM;17.5; 0.157370;       ;       ;    ;      ;
J2108-0350  ;21 08 46.4;-03 50 32;DN;UG;17.5; 0.156927;       ;       ;    ;      ;
0642+5049   ;06 46 19.6;+50 45 48;NL;UX;15.3; 0.156900;       ;       ;    ;      ;
J1031-4626  ;10 31 35.0;-46 26 39;NL;  ;17.0; 0.156700;       ;       ;    ;      ;
V5582 Sgr   ;17 45 05.4;-20 03 22;N ;  ;19.4; 0.156604;       ;       ;    ;      ;
V811 Cyg    ;19 48 23.3;+36 26 23;DN;UG;17.2; 0.156560;       ;       ;    ;      ;
V1493 Aql   ;19 07 36.9;+12 31 27;Na;  ;21.0; 0.156000;       ;       ;    ;      ;
SV CMi      ;07 31 08.4;+05 58 49;DN;UG;16.3; 0.156000;       ;       ;    ;      ;
BH Lyn      ;08 22 36.0;+51 05 25;NL;SW;13.7; 0.155875;       ;       ;    ;      ;
V447 Lyr    ;19 00 19.9;+44 27 45;DN;UG;21.0; 0.155627;       ;       ;    ;      ;
J0449-1841  ;04 49 02.7;-18 41 29;DN;  ;17.7; 0.155540;       ;       ;    ;      ;
J1424-0227  ;14 24 39.0;-02 27 39;NL;AM;19.6; 0.155500;       ;       ;    ;      ;
OY Ara      ;16 40 50.3;-52 25 51;Na;SW;18.7; 0.155466;       ;       ;74.3; 0.820; 0.340
GS Pav      ;20 08 07.6;-69 48 58;NL;VY;14.9; 0.155270;       ;       ;    ;      ;
IW And      ;01 01 08.9;+43 23 26;DN;ZC;17.5; 0.155000;       ;       ;    ;      ;
PY Per      ;02 50 00.1;+37 39 23;DN;ZC;19.8; 0.154800;       ;       ;    ;      ;
J1654-1916  ;16 54 43.7;-19 16 31;NL;IP;15.6; 0.154800;       ;       ;    ;      ;
QQ Vul      ;20 05 41.9;+22 39 59;NL;AM;14.2; 0.154520;M4/5   ;       ;72.0; 0.660; 0.420
2117-5417   ;21 21 26.6;-54 04 34;NL;  ;13.7; 0.154500;       ;       ;    ;      ;
J1226-2527  ;12 26 17.3;-25 27 04;DN;  ;16.7; 0.154400;       ;       ;    ;      ;
J2340+7642  ;23 40 20.6;+76 42 11;NL;AM;16.0; 0.154200;       ;       ;    ;      ;
V380 Oph    ;17 50 13.7;+06 05 29;NL;VY;14.3; 0.154107;       ;       ;42.0; 0.580; 0.360
BB Dor      ;05 29 28.7;-58 54 46;NL;SW;14.0; 0.154095;M3-4/5 ;       ;    ;      ;
V373 Sct    ;18 55 26.7;-07 43 06;Na;IP;18.4; 0.154000;       ;       ;    ;      ;
LD 317      ;23 44 57.4;+43 31 22;NL;VY;12.6; 0.154000;       ;       ;    ;      ;
0758+4019   ;08 02 15.3;+40 10 46;NL;  ;16.7; 0.153900;       ;       ;    ;      ;
WY Sge      ;19 32 43.8;+17 44 55;N ;DN;19.0; 0.153635;M4/5   ;       ;75.0;      ;
V992 Sco    ;17 07 17.5;-43 15 22;Nb;  ;17.0; 0.153580;       ;       ;    ;      ;
V4579 Sgr   ;18 03 37.9;-28 00 09;Nb;  ;16.2; 0.153561;       ;       ;    ;      ;
J1129-5355  ;11 29 21.7;-53 55 44;NL;  ;16.3; 0.153550;       ;       ;    ;      ;
BZ Cam      ;06 29 34.0;+71 04 37;NL;VY;12.0; 0.153530;       ;       ;    ;      ;
V794 Aql    ;20 17 34.0;-03 39 51;NL;VY;13.3; 0.153300;       ;       ;    ;      ;
J1024-4826  ;10 24 42.0;-48 26 43;  ;  ;15.6; 0.153000;       ;       ;    ;      ;
BP Lyn      ;09 03 08.9;+41 17 48;NL;UX;14.5; 0.152812;       ;       ;    ;      ;
AB Dra      ;19 49 06.5;+77 44 24;DN;UG;14.5; 0.152000;       ;       ;    ;      ;
V999 Sgr    ;18 00 05.6;-27 33 14;Nb;  ;16.3; 0.151841;       ;       ;    ;      ;
LX And      ;02 19 44.1;+40 27 22;DN;UG;16.9; 0.150974;       ;       ;    ;      ;
J1649-3307  ;16 49 55.6;-33 07 02;NL;IP;15.9; 0.150700;       ;       ;    ;      ;
V5113 Sgr   ;18 10 10.4;-27 45 33;N ;  ;20.0; 0.150015;       ;       ;    ;      ;
EF Tuc      ;00 01 55.0;-67 07 44;DN;  ;15.0; 0.150000;       ;       ;    ;      ;
NGC 104-CV1 ;00 24 04.3;-72 04 58;NL;IP;19.9; 0.150000;       ;       ;    ;      ;
NGC 6752-CV2;19 10 52.0;-59 58 56;GC;DN;20.9; 0.150000;       ;       ;    ;      ;
J0749-0549  ;07 49 10.4;-05 49 26;NL;AM;19.0; 0.150000;       ;       ;    ;      ;
LU Cam      ;05 58 18.0;+67 53 46;NL;SH;17.0; 0.149969;       ;       ;    ;      ;
AO Psc      ;22 55 18.0;-03 10 40;NL;IP;13.3; 0.149626;       ;       ;    ;      ;
V425 Cas    ;23 03 46.6;+53 17 15;NL;VY;14.5; 0.149600;       ;       ;25.0; 0.860; 0.310
V1294 Tau   ;04 00 37.3;+06 22 46;NL;VY;14.6; 0.149500;       ;       ;    ;      ;
0220+0603   ;02 23 01.6;+06 16 52;NL;UX;15.6; 0.149208;M5-6/5 ;DAB    ;79.0; 0.870; 0.470
0455+8315   ;05 06 48.5;+83 19 23;NL;VY;14.5; 0.148724;       ;       ;    ;      ;
VZ Sex      ;09 44 31.7;+03 58 05;DN;UG;16.0; 0.148700;M0-3/5 ;       ;    ;      ;
1813+6122   ;18 14 29.6;+61 23 35;NL;UX;15.2; 0.148000;       ;       ;    ;      ;
V524 Hya    ;09 20 09.5;+00 42 45;NL;SW;17.2; 0.147878;       ;       ;    ;      ;
V2574 Oph   ;17 38 45.5;-23 28 19;Na;NS;    ; 0.147700;       ;       ;    ;      ;
0506+7725   ;05 13 36.5;+77 28 44;NL;VY;15.1; 0.147700;       ;       ;    ;      ;
V533 Her    ;18 14 20.5;+41 51 23;Na;DQ;14.4; 0.147000;       ;       ;    ;      ;
J0537-7034  ;05 37 44.6;-70 33 47;SS;  ;19.7; 0.147000;       ;       ;57.5; 0.600; 0.350
J0942-1936  ;09 42 52.3;-19 36 52;DN;  ;19.5; 0.147000;       ;       ;    ;      ;
PX And      ;00 30 05.8;+26 17 27;NL;SW;15.0; 0.146353;       ;       ;    ;      ;
J1220-1027  ;12 20 59.8;-10 27 35;DN;  ;19.3; 0.146150;       ;       ;    ;      ;
MV Leo      ;10 28 00.1;+21 48 14;DN;ZC;16.2; 0.146100;       ;       ;    ;      ;
IM Eri      ;04 24 41.1;-20 07 12;NL;UX;11.1; 0.145635;       ;       ;    ;      ;
CH CrB      ;16 07 45.0;+36 23 21;NL;UX;18.0; 0.145500;       ;       ;    ;      ;
V358 Aqr    ;23 16 03.6;-05 27 08;NL;AM;15.7; 0.145452;       ;       ;    ;      ;
V2468 Cyg   ;19 58 33.4;+29 52 07;Na;  ;18.0; 0.145250;       ;       ;    ;      ;
V500 Aql    ;19 52 28.0;+08 28 46;Na;  ;19.3; 0.145200;       ;       ;    ;      ;
CP Lac      ;22 15 41.2;+55 37 02;Na;SW;15.3; 0.145143;       ;       ;    ;      ;
RR Pic      ;06 35 36.1;-62 38 24;Nb;SW;12.0; 0.145025;       ;       ;65.0; 0.950; 0.400
J0756-1246  ;07 56 48.9;-12 46 54;NL;SW;16.3; 0.145000;       ;       ;    ;      ;
J1007-2017  ;10 07 34.6;-20 17 33;NL;AM;16.0; 0.144864;       ;M3/5   ;73.0; 0.800; 0.350
VZ Scl      ;23 50 09.2;-26 22 53;NL;VY;15.6; 0.144622;       ;       ;90.0; 1.000; 1.400
V751 Cyg    ;20 52 12.8;+44 19 26;VY;SW;13.2; 0.144464;       ;       ;    ;      ;
J2255-3449  ;22 55 04.2;-34 49 18;NL;  ;15.7; 0.144461;       ;       ;    ;      ;
V647 Aur    ;06 36 32.6;+35 35 43;NL;IP;15.7; 0.144440;       ;       ;    ;      ;
LN UMa      ;10 04 34.7;+66 29 15;NL;VY;14.6; 0.144400;       ;       ;    ;      ;
V1101 Aql   ;20 13 04.0;+15 35 47;DN;  ;14.3; 0.144200;       ;       ;    ;      ;
UU Col      ;05 12 13.1;-32 41 39;NL;IP;17.3; 0.144000;       ;       ;    ;      ;
J1926+1322  ;19 26 27.0;+13 22 05;NL;IP;17.3; 0.143700;       ;       ;    ;      ;
J0617-3626  ;06 17 53.8;-36 26 55;CV;  ;17.2; 0.143350;       ;       ;    ;      ;
J2014+1529  ;20 14 24.9;+15 29 30;NL;IP;19.3; 0.143300;       ;       ;    ;      ;
EV Lyn      ;07 54 43.0;+50 07 29;NL;SW;17.8; 0.143030;       ;       ;    ;      ;
V584 Lyr    ;19 10 59.4;+28 56 39;DN;  ;18.9; 0.142900;       ;       ;    ;      ;
V909 Sgr    ;18 25 52.3;-35 01 27;Na;  ;20.0; 0.142900;       ;       ;    ;      ;
LS Cam      ;05 57 24.0;+72 41 52;NL;IP;16.7; 0.142500;       ;       ;    ;      ;
V2289 Cyg   ;19 34 36.1;+51 07 41;DN;UG;19.0; 0.142000;       ;       ;    ;      ;
V2400 Oph   ;17 12 36.4;-24 14 45;NL;IP;14.2; 0.142000;       ;       ;    ;      ;
J0746-0934  ;07 46 55.5;-09 34 31;DN;  ;14.0; 0.141600;       ;       ;    ;      ;
AQ Men      ;05 07 53.6;-79 51 24;NL;NS;14.8; 0.141471;       ;       ;    ;      ;
MN Hya      ;09 29 07.1;-24 05 05;NL;AM;16.5; 0.141244;M3-4/5 ;       ;74.0;      ;
V849 Her    ;16 35 45.7;+11 24 58;NL;  ;14.6; 0.141000;       ;       ;    ;      ;
J1659+1927  ;16 59 51.7;+19 27 46;NL;  ;16.8; 0.141000;       ;       ;    ;      ;
AH Pic      ;05 57 12.7;-59 35 26;NL;UX;14.3; 0.140950;       ;       ;    ;      ;
V388 Peg    ;21 57 32.4;+08 55 14;NL;AM;17.5; 0.140630;       ;       ;    ;      ;
J1422-0221  ;14 22 56.4;-02 21 07;NL;AM;19.4; 0.140400;       ;       ;    ;      ;
J0439-6809  ;04 39 49.7;-68 09 02;SS;  ;21.6; 0.140300;       ;       ;    ;      ;
V1223 Sgr   ;18 55 02.2;-31 09 49;NL;IP;12.3; 0.140244;       ;       ;24.0; 0.930; 0.330
V1432 Aql   ;19 40 11.5;-10 25 25;NL;AM;14.9; 0.140236;M4/5   ;       ;    ;      ;
RR Cha      ;13 26 24.2;-82 19 43;Na;SH;18.9; 0.140100;       ;       ;    ;      ;
J1751-2934  ;17 51 22.7;-29 34 36;NL;AM;18.8; 0.140000;       ;       ;    ;      ;
BO Cet      ;02 06 39.2;-02 03 43;NL;SW;13.5; 0.139800;       ;       ;    ;      ;
BY Cam      ;05 42 48.9;+60 51 32;NL;AM;14.0; 0.139753;       ;       ;40.0; 0.800;
V1315 Aql   ;19 13 54.5;+12 18 03;NL;UX;14.3; 0.139690;       ;       ;82.0; 0.730; 0.300
TT Tri      ;01 31 59.7;+29 49 22;NL;UX;15.6; 0.139637;       ;       ;    ;      ;
V1500 Cyg   ;21 11 36.6;+48 09 02;Na;NL;19.2; 0.139613;       ;       ;    ;      ;
WX Ari      ;02 47 36.2;+10 35 39;NL;UX;15.3; 0.139351;       ;       ;72.0;      ;
J0733+2619  ;07 33 46.3;+26 19 26;NL;AM;17.4; 0.139095;       ;       ;    ;      ;
DY Pup      ;08 13 48.4;-26 33 57;Nb;  ;19.6; 0.139000;       ;       ;    ;      ;
V378 Peg    ;23 40 04.3;+30 17 47;NL;NS;13.8; 0.138580;       ;       ;    ;      ;
V1668 Cyg   ;21 42 35.2;+44 01 55;Na;  ;19.7; 0.138400;       ;       ;    ;      ;
V728 Sco    ;17 39 05.6;-45 27 14;Na;  ;17.0; 0.138340;       ;       ;82.0; 0.810; 0.290
V603 Aql    ;18 48 54.6;+00 35 03;Na;SH;11.4; 0.138201;       ;       ;13.0; 1.200; 0.290
TT Ari      ;02 06 53.1;+15 17 43;VY;SW; 9.5; 0.137550;M3.5/5 ;       ;    ;      ;
V5585 Sgr   ;18 07 27.0;-29 00 44;Na;  ;21.8; 0.137526;       ;       ;    ;      ;
J0229-3959  ;02 29 16.9;-39 59 20;NL;VY;12.8; 0.137000;       ;       ;    ;      ;
2133+0513   ;21 35 59.3;+05 27 00;NL;VY;16.9; 0.137000;       ;       ;    ;      ;
J0756+0858  ;07 56 53.1;+08 58 32;NL;UX;16.5; 0.136974;       ;       ;84.0; 0.600; 0.280
J2142-6748  ;21 42 17.3;-67 48 01;DN;  ;17.4; 0.136710;       ;       ;    ;      ;
OZ Dra      ;13 27 23.4;+65 28 54;NL;UX;17.8; 0.136632;       ;       ;    ;      ;
DW UMa      ;10 33 53.0;+58 46 55;NL;SW;13.6; 0.136607;M3-9   ;       ;82.0; 0.770; 0.300
J1206+5100  ;12 06 15.7;+51 00 47;NL;LA;19.9; 0.136600;M3-4/5 ;DC     ;    ;      ;
XX Tau      ;05 19 24.5;+16 43 00;Na;  ;18.6; 0.136000;       ;       ;    ;      ;
OR And      ;23 04 37.4;+49 27 24;NL;VY;14.5; 0.135900;       ;       ;    ;      ;
HL Aqr      ;22 20 26.9;+02 00 54;NL;UX;13.3; 0.135570;       ;       ;    ;      ;
V393 Hya    ;11 00 17.5;-29 51 59;NL;  ;15.9; 0.135000;       ;       ;    ;      ;
SW Sex      ;10 15 09.4;-03 08 34;NL;UX;14.3; 0.134938;       ;       ;75.0; 0.500; 0.300
Aqr 1       ;22 38 43.8;+01 08 21;NL;IP;18.1; 0.134930;       ;       ;    ;      ;
J2342+3248  ;23 42 26.2;+32 48 20;NL;SW;17.9; 0.134826;       ;       ;    ;      ;
BG CMi      ;07 31 29.0;+09 56 23;NL;IP;14.3; 0.134748;       ;       ;33.0; 0.800; 0.380
V1494 Aql   ;19 23 05.4;+04 57 20;Na;  ;17.6; 0.134616;       ;       ;    ;      ;
V482 Cam    ;07 33 41.4;+67 32 16;NL;SW;15.7; 0.133619;       ;       ;85.0;      ;
V4742 Sgr   ;18 02 21.9;-25 20 32;Na;IP;19.0; 0.133616;       ;       ;    ;      ;
J0809+3814  ;08 09 08.4;+38 14 06;NL;SW;15.6; 0.133616;       ;       ;65.0; 1.000; 0.300
J0753+0445  ;07 53 30.8;+04 45 56;NL;VY;14.6; 0.133000;       ;       ;    ;      ;
J0734-1706  ;07 34 18.6;-17 06 27;NL;SW;17.8; 0.132726;       ;       ;    ;      ;
J0837+3830  ;08 37 51.0;+38 30 12;NL;AM;18.9; 0.132500;M5/5   ;       ;    ;      ;
MV Lyr      ;19 07 16.3;+44 01 08;NL;VY;11.8; 0.132335;M5/5   ;       ;12.0; 0.730; 0.300
V519 Ser    ;16 10 07.5;+03 52 33;NL;AM;16.5; 0.132274;M4-5/5 ;       ;    ;      ;
V1033 Cen   ;11 41 22.9;-64 10 14;NL;AM;16.5; 0.131518;       ;       ;    ;      ;
J1453-5521  ;14 53 41.2;-55 21 37;NL;AM;14.5; 0.131517;       ;       ;50.0;      ;
V339 Del    ;20 23 30.7;+20 46 04;Na;  ;17.4; 0.131400;       ;       ;    ;      ;
J0759+1914  ;07 59 39.8;+19 14 17;DN;AM;18.2; 0.130934;       ;       ;    ;      ;
J0130+6221  ;01 30 31.9;+62 21 32;DN;  ;17.5; 0.130062;       ;       ;    ;      ;
DK Lac      ;22 49 47.0;+53 17 20;Na;VY;16.8; 0.129600;       ;       ;    ;      ;
AM Her      ;18 16 13.3;+49 52 04;NL;AM;12.0; 0.128927;M4/5   ;       ;50.0; 0.760;
KQ Mon      ;07 31 21.1;-10 21 50;NL;UX;13.0; 0.128000;       ;       ;    ;      ;
DN Gem      ;06 54 54.4;+32 08 27;Na;  ;16.0; 0.127844;       ;       ;    ;      ;
AH Men      ;06 11 44.1;-81 49 24;NL;SW;13.2; 0.127210;       ;       ;    ;      ;
BX Pup      ;07 54 15.6;-24 19 36;DN;ZC;16.6; 0.127000;       ;       ;    ;      ;
J0921-5939  ;09 21 34.1;-59 39 07;  ;  ;17.3; 0.126700;       ;       ;    ;      ;
CW Hyi      ;02 30 51.1;-68 42 05;NL;AM;16.0; 0.126250;       ;       ;    ;      ;
2141+1231   ;21 43 54.6;+12 44 50;NL;  ;16.2; 0.126000;       ;       ;    ;      ;
V4633 Sgr   ;18 21 40.5;-27 31 38;Na;NL;18.7; 0.125567;       ;       ;    ;      ;
J2319+2615  ;23 19 30.3;+26 15 19;NL;AM;16.5; 0.125440;       ;       ;    ;      ;
LQ Peg      ;21 36 19.1;+11 40 55;NL;VY;14.4; 0.124747;       ;       ;    ;      ;
J1753-3324  ;17 53 08.4;-33 24 23;NL;UX;18.4; 0.124641;       ;       ;    ;      ;
V442 Oph    ;17 32 15.1;-16 15 22;NL;VY;12.6; 0.124330;       ;       ;    ;      ;
J1754-3006  ;17 54 13.8;-30 06 13;NL;UX;17.4; 0.123985;       ;       ;    ;      ;
V5116 Sgr   ;18 17 50.8;-30 26 32;Na;  ;18.7; 0.123744;       ;       ;    ;      ;
DM Gem      ;06 44 12.1;+29 56 42;Na;SW;16.7; 0.122800;       ;       ;    ;      ;
J1042-6211  ;10 42 02.4;-62 11 54;DN;SU;19.7; 0.122000;       ;       ;    ;      ;
J0813+2813  ;08 13 52.0;+28 13 17;NL;VY;17.1; 0.122000;       ;       ;    ;      ;
J2250+5731  ;22 50 37.0;+57 31 54;NL;AM;20.3; 0.121000;       ;       ;    ;      ;
